ID_POSLA,SIFRA_KO,IME_KO,OBCINA,PARCELNA_STEVILKA,VRSTA_ZEMLJISCA,VRSTA_TRAJNEGA_NASADA,STAROST_TRAJNEGA_NASADA,PRODANI_DELEZ_PARCELE,OPOMBE_O_NEPREMICNINI,POVRSINA_PARCELE,POGODBENA_CENA_PARCELE,STOPNJA_DDV_PARCELE,E_CENTROID,N_CENTROID,LETO
887039,1601,ČEPLJE,KOČEVJE,2191,7,,,1/1,,196,,,503073.01,45475.7,2024
887039,1601,ČEPLJE,KOČEVJE,2195,7,,,1/1,,414,,,503058.97,45536.02,2024
887039,1601,ČEPLJE,KOČEVJE,2196,7,,,1/1,,694,,,503051.47,45491.67,2024
887039,1601,ČEPLJE,KOČEVJE,2193/1,7,,,1/1,,1106,,,503071.44,45586.29,2024
887039,1601,ČEPLJE,KOČEVJE,2193/2,7,,,1/1,,829,,,503070.44,45518.67,2024
887039,1601,ČEPLJE,KOČEVJE,2217/1,7,,,1/1,,1090,,,503060.89,45501.76,2024
887039,1601,ČEPLJE,KOČEVJE,2217/2,7,,,1/1,,180,,,503047.91,45626.84,2024
887039,1601,ČEPLJE,KOČEVJE,2223/4,7,,,1/1,,996,,,503087.54,45573.22,2024
887039,1601,ČEPLJE,KOČEVJE,2223/5,7,,,1/1,,25,,,503047.45,45639.64,2024
887039,1601,ČEPLJE,KOČEVJE,2225/1,7,,,1/1,,140,,,503068,45489.84,2024
887039,1601,ČEPLJE,KOČEVJE,2225/2,7,,,1/1,,90,,,503062.84,45477.7,2024
887045,1798,ZAGORICA,DOBREPOLJE,753/5,7,,,1/1,,281,,,478367.4,78191.59,2024
887049,166,LENDAVA,LENDAVA,3598,5,,,1/1,,279,,,612768.62,159538.52,2024
887049,166,LENDAVA,LENDAVA,3599,7,,,1/1,,1195,,,612742.42,159521.23,2024
887074,1998,VELIKA LIGOJNA,VRHNIKA,1751/2,7,,,1/1,,5737,,,447685.8,96040.79,2024
887109,996,ŽALEC,ŽALEC,2268,6,,,1/1,,11,,,512805.62,123507.84,2024
887867,127,KROG,MURSKA SOBOTA,1063/1,9,,,1/1,,677,,,584903.09,163409.26,2024
887867,127,KROG,MURSKA SOBOTA,1063/2,9,,,1/1,,528,,,584895.8,163502.45,2024
887867,127,KROG,MURSKA SOBOTA,1064/1,9,,,1/1,,681,,,584897.42,163406.17,2024
887867,127,KROG,MURSKA SOBOTA,1064/2,9,,,1/1,,509,,,584888.23,163495.73,2024
887868,1515,METLIKA,METLIKA,4438,1,,,1/1,,976,,,525148.2,56360.28,2024
887874,148,RENKOVCI,TURNIŠČE,3164,7,,,1/1,,1987,,,598610.5,165607.34,2024
887910,1059,LEMBERG,VOJNIK,465/3,7,,,1/1,,1919,,,518844.84,130985.96,2024
887253,718,KOPIVNIK,RAČE-FRAM,67/5,6,,,1/1,,1025,,,547060.37,146601.44,2024
887253,718,KOPIVNIK,RAČE-FRAM,67/7,6,,,1/1,,205,,,547163.63,146569.44,2024
887271,877,STRAŽIŠČE,PREVALJE,358/17,3,,,1/1,,6198,,,495142.17,156474.21,2024
887283,1297,MOSTEC,BREŽICE,553/52,5,,,1/1,,84,,,549065.82,83584.16,2024
887309,1959,DOMŽALE,DOMŽALE,1579/14,7,,,1/1,,244,,,468297.74,112387.19,2024
887320,586,PODIGRAC,KUNGOTA,246/8,5,,,1/1,,248,,,547099.26,170732.33,2024
887323,707,HOTINJA VAS,HOČE-SLIVNICA,530/22,5,,,1/1,,287,,,550847.39,147356.81,2024
887165,2455,SEŽANA,SEŽANA,4285/13,2,,,1/1,,201,,,411343.36,63691.08,2024
887467,2374,VODICE,AJDOVŠČINA,76/19,9,,,1/1,,6820,,,426134.06,82374.42,2024
887396,2606,SEMEDELA,KOPER,3724,7,,,1/60,,8897,,,400881.64,42223.97,2024
887396,2606,SEMEDELA,KOPER,2816/1,7,,,13/30,,2616,,,400906.87,42319.24,2024
887416,99,FILOVCI,MORAVSKE TOPLICE,7897,7,,,1/1,,930,,,599033.96,171210.79,2024
887419,1711,TURJAK,VELIKE LAŠČE,68,3,,,1/1,,34,,,469650.69,82060.03,2024
887419,1711,TURJAK,VELIKE LAŠČE,72,5,,,1/1,,454,,,469648.24,82080.85,2024
887423,1390,VRH,SEVNICA,1739/2,7,,,1/1,,498,,,518261.67,93298.46,2024
887446,1397,TRŽIŠČE,SEVNICA,2250/2,9,,,1/1,,329,,,513286.25,91530.83,2024
887450,387,KICAR,PTUJ,378/7,5,,,1/2,,710,,,570263.02,145974.02,2024
887450,387,KICAR,PTUJ,341/18,5,,,1/2,,577,,,570281.21,145986.77,2024
887450,387,KICAR,PTUJ,341/19,5,,,1/2,,201,,,570272.71,145989.67,2024
887471,1329,VELIKI PODLOG,KRŠKO,2567/9,5,,,1/1,,3083,,,534801.91,84477.49,2024
887486,2021,DOBRAČEVA,ŽIRI,395/3,3,,,1/1,,181,,,431013.71,101610.69,2024
887510,59,MOŠČANCI,PUCONCI,1584,9,,,1/1,,4917,,,590007.12,180731.45,2024
887510,55,DANKOVCI,PUCONCI,1554,9,,,1/1,,3508,,,588478.27,180091.51,2024
887559,893,ZAGRAD,PREVALJE,316/30,5,,,1/1,,473,,,494775.15,155871.63,2024
887579,1614,SLEMENA,RIBNICA,711/14,1,,,1/1,,61,,,469189.07,72410.86,2024
887579,1614,SLEMENA,RIBNICA,711/15,1,,,1/1,,501,,,469192.72,72405.91,2024
887603,2215,ROBIDIŠČE,KOBARID,190/4,5,,,1/1,,308,,,377666.96,120725.05,2024
887611,2370,DOL-OTLICA,AJDOVŠČINA,*161,3,,,1/12,,216,,,412601.14,90593.56,2024
887611,2370,DOL-OTLICA,AJDOVŠČINA,1351/9,3,,,1/12,,347,,,412615.12,90503.36,2024
887611,2370,DOL-OTLICA,AJDOVŠČINA,1351/10,3,,,1/12,,93,,,412608.67,90481.41,2024
887611,2370,DOL-OTLICA,AJDOVŠČINA,1353,3,,,1/12,,3964,,,412633.14,90594.26,2024
887611,2370,DOL-OTLICA,AJDOVŠČINA,1352,3,,,1/12,,2464,,,412620.16,90554.31,2024
887611,2370,DOL-OTLICA,AJDOVŠČINA,1351/2,3,,,1/12,,1470,,,412631.6,90528.62,2024
887636,1169,CEROVEC,ROGAŠKA SLATINA,1/2,9,,,1/1,,90,,,550843.93,126223.57,2024
829699,1636,,,1663/6,5,,,1/1,,473,,,458672.39,65126.56,2024
829702,1636,,,1602/3,5,,,1/1,,425,,,458683.97,64524.06,2024
829702,1636,,,2247/15,5,,,1/1,,103,,,458693.92,64532.95,2024
829659,713,ZLATOLIČJE,STARŠE,164/6,3,,,1/1,,667,,,560927.83,146145.61,2024
829671,2405,PODNANOS,VIPAVA,450/1,9,,,1/1,,1534,,,419902.2,72264.34,2024
829671,2405,PODNANOS,VIPAVA,446,9,,,1/1,,1672,,,419878.12,72297.29,2024
829671,2405,PODNANOS,VIPAVA,435/2,9,,,1/1,,1300,,,419825.1,72503.56,2024
829690,139,ŽIŽKI,ČRENŠOVCI,507,7,,,1/1,,967,,,600752.09,159407.89,2024
829690,139,ŽIŽKI,ČRENŠOVCI,508,7,,,1/1,,881,,,600736.23,159483.86,2024
829694,1271,VITNA VAS,BREŽICE,1367/4,3,,,1/1,,693,,,553634.81,92502.66,2024
829694,1271,VITNA VAS,BREŽICE,1367/3,7,,,1/1,,1980,,,553602.84,92489.42,2024
829694,1271,VITNA VAS,BREŽICE,1365/1,9,,,1/1,,411,,,553553.27,92483.25,2024
829694,1271,VITNA VAS,BREŽICE,1365/2,9,,,1/1,,1219,,,553560.94,92465.28,2024
829651,1735,STOŽICE,LJUBLJANA,2216/58,3,,,1/1,,622,,,464365.95,104847.07,2024
829663,1315,VIDEM,KRŠKO,151/4,7,,,1/1,,144,,,537694.14,92553.6,2024
829663,1315,VIDEM,KRŠKO,151/5,5,,,1/1,,431,,,537703.03,92562.14,2024
829663,1315,VIDEM,KRŠKO,224/3,5,,,1/1,,237,,,537690.42,92572.58,2024
829675,2319,BUKOVICA,RENČE-VOGRSKO,754/4,7,,,1/1,,170,,,396652.21,84925.69,2024
829683,1871,TRBOVLJE,TRBOVLJE,1015/11,5,,,31/100,,42,,,504290.46,112044.91,2024
829691,2487,RAKITNIK,POSTOJNA,75/4,5,,,1/1,,280,,,437303.42,67411.87,2024
829691,2487,RAKITNIK,POSTOJNA,81/4,5,,,1/1,,67,,,437305.61,67398.72,2024
829691,2487,RAKITNIK,POSTOJNA,81/3,5,,,1/1,,147,,,437296.1,67402.03,2024
829692,119,SODIŠINCI,TIŠINA,143,5,,,1/1,,1454,,,580279.31,171116.34,2024
829692,119,SODIŠINCI,TIŠINA,144,5,,,1/1,,831,,,580249.67,171107.21,2024
829696,1210,PRISTAVA,ŠMARJE PRI JELŠAH,767/6,7,,,1/4,,111,,,544550.56,118396.63,2024
829696,1210,PRISTAVA,ŠMARJE PRI JELŠAH,768/8,7,,,1/4,,341,,,544500.21,118419.24,2024
829696,1210,PRISTAVA,ŠMARJE PRI JELŠAH,767/5,7,,,1/4,,1480,,,544528.15,118405.56,2024
829714,1638,KNEŽJA NJIVA,LOŠKA DOLINA,924/1,5,,,1/1,,20,,,459926.36,63572.53,2024
829714,1638,KNEŽJA NJIVA,LOŠKA DOLINA,924/2,5,,,1/1,,25,,,459951.34,63577.68,2024
829714,1638,KNEŽJA NJIVA,LOŠKA DOLINA,341/37,5,,,1/1,,133,,,459927.96,63559.37,2024
829703,1636,,,2229/36,5,,,1/1,,23,,,458776.69,65367.46,2024
829653,2654,GOZD REKA,ŠMARTNO PRI LITIJI,866,7,,,1/1,,6251,,,480445.81,96613.21,2024
829667,2527,JASEN,ILIRSKA BISTRICA,118/134,9,,,1/1,,238,,,442316.02,46950.04,2024
829667,2527,JASEN,ILIRSKA BISTRICA,195/2,9,,,1/1,,230,,,442286.01,46935.36,2024
829667,2527,JASEN,ILIRSKA BISTRICA,196,9,,,1/1,,424,,,442295.16,46933.16,2024
829668,2513,PODSTENJE,ILIRSKA BISTRICA,599,9,,,1/1,,144,,,438933.9,50457.87,2024
829668,2513,PODSTENJE,ILIRSKA BISTRICA,600,9,,,1/1,,3220,,,438853.8,50454.84,2024
829669,2391,VIPAVSKI KRIŽ,AJDOVŠČINA,853,9,,,1/2,,1079,,,412915.45,82480.09,2024
829669,2391,VIPAVSKI KRIŽ,AJDOVŠČINA,846,9,,,1/2,,424,,,412917.57,82452.2,2024
829669,2391,VIPAVSKI KRIŽ,AJDOVŠČINA,845,9,,,1/2,,178,,,412898.96,82457.55,2024
829669,2391,VIPAVSKI KRIŽ,AJDOVŠČINA,854,9,,,1/2,,5226,,,412961.55,82536.74,2024
829673,2244,GRAHOVO,TOLMIN,81/2,5,,,1/1,,41,,,412322.09,113656.52,2024
829673,2244,GRAHOVO,TOLMIN,81/1,5,,,1/1,,74,,,412318.07,113662.31,2024
829701,1648,KOZARIŠČE,LOŠKA DOLINA,2454/12,5,,,1/1,,60,,,459094.37,61016.74,2024
829709,1651,BABNO POLJE,LOŠKA DOLINA,1302/2,5,,,1/1,,48,,,464870.63,56187.9,2024
829654,1673,VELIKE BLOKE,BLOKE,1496/2,3,,,1/1,,552,,,459486.5,71640.49,2024
829678,1310,NOVA VAS,BREŽICE,656/3,7,,,1/1,,2064,,,552738.33,78796.04,2024
834596,1900,TUNJICE,KAMNIK,552/3,7,,,1/18,,1058,,,467001.07,122774.66,2024
834596,1900,TUNJICE,KAMNIK,546,7,,,1/18,,2943,,,466751.39,122829.41,2024
834596,1900,TUNJICE,KAMNIK,547/2,7,,,1/18,,591,,,466769.75,122794,2024
834596,1900,TUNJICE,KAMNIK,553,7,,,1/18,,5050,,,467060.32,122800.16,2024
834596,1900,TUNJICE,KAMNIK,554,7,,,1/18,,1669,,,467060.98,122839.67,2024
834596,1900,TUNJICE,KAMNIK,548,7,,,1/18,,3990,,,466816.93,122827.57,2024
834604,2161,ZALOŠE,RADOVLJICA,944/4,3,,,1/1,,234,,,442897.63,127920.26,2024
834608,1390,VRH,SEVNICA,159,9,,,1/2,,5560,,,520315.61,95854.1,2024
834610,1264,ARNOVO SELO,BREŽICE,333/3,7,,,1/1,,22,,,544156.24,91325.55,2024
