ID_POSLA,VRSTA_KUPOPRODAJNEGA_POSLA,DATUM_UVELJAVITVE,DATUM_SKLENITVE_POGODBE,POGODBENA_CENA_ODSKODNINA,VKLJUCENOST_DDV,STOPNJA_DDV,DATUM_IZTEKA_LIZINGA,DATUM_PRENEHANJA_LIZINGA,OPOMBE_O_PRAVNEM_POSLU,POSREDOVANJE_NEPREMICNINSKE_AGENCIJE,DATUM_ZADNJE_SPREMEMBE_POSLA,DATUM_ZADNJE_UVELJAVITVE_POSLA,VRSTA_AKTA,TRZNOST_POSLA,LETO
629655,1,10.12.2021,01.10.2021,22000,0,,,,,,15.04.2025,10.12.2021,1,2,2021
532954,1,10.04.2021,22.02.2021,44567.2,0,,,,,,15.04.2025,10.04.2021,1,2,2021
545446,1,11.07.2021,01.06.2021,72000,0,,,,,,15.04.2025,11.07.2021,1,2,2021
555296,1,11.09.2021,13.08.2021,8554,0,,,,,,15.04.2025,11.09.2021,1,2,2021
552996,1,10.09.2021,02.07.2021,5800,0,,,,,,15.04.2025,10.09.2021,1,1,2021
628867,1,10.12.2021,15.10.2021,375,0,,,,,,15.04.2025,10.12.2021,1,3,2021
544000,1,10.07.2021,10.05.2021,66500,0,,,,,,15.04.2025,10.07.2021,1,2,2021
535785,1,10.05.2021,22.03.2021,5000,0,,,,,,15.04.2025,10.05.2021,1,2,2021
547588,1,14.07.2021,31.05.2021,126270,1,4,,,,,15.04.2025,14.07.2021,1,2,2021
553717,1,10.09.2021,13.07.2021,455000,0,,,,,,15.04.2025,10.09.2021,1,2,2021
529648,1,10.03.2021,13.01.2021,85000,0,,,,,,15.04.2025,10.03.2021,1,2,2021
546571,1,11.07.2021,02.06.2021,72500,0,,,,,,15.04.2025,11.07.2021,1,2,2021
542892,1,11.06.2021,17.05.2021,180000,0,,,,,,15.04.2025,11.06.2021,1,2,2021
555219,1,11.09.2021,10.08.2021,90000,0,,,,,,15.04.2025,11.09.2021,1,2,2021
533398,1,10.04.2021,02.03.2021,36049,0,,,,,,15.04.2025,10.04.2021,1,2,2021
557047,1,10.10.2021,19.08.2021,2000,0,,,,,,15.04.2025,10.10.2021,1,3,2021
629188,1,10.12.2021,23.06.2021,14200,0,,,,,,15.04.2025,10.12.2021,1,1,2021
542652,1,11.06.2021,12.05.2021,1000,0,,,,,,15.04.2025,11.06.2021,1,1,2021
549981,1,11.08.2021,30.06.2021,130000,0,,,,,,15.04.2025,11.08.2021,1,2,2021
630597,1,11.12.2021,11.11.2021,63200,0,,,,,,15.04.2025,11.12.2021,1,3,2021
